sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:row_number,ADD_INFO:dataset,ADD_INFO:variable_name,ADD_INFO:description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1,number of children including newborn,0,,45,ppdataset_clean.csv,noc,number of children including newborn,0.52,UNCHECKED,UNREVIEWED,,0,439156,Finding of neonate,Condition,MAPS_TO,,<auto>,1720045835943,
1,total EPDS score (Phase 2),0,,152,ppdataset_clean.csv,scr2,total EPDS score (Phase 2),0.63,APPROVED,EQUAL,Reinp,1720046278354,1989297,Total score [EPDS],Observation,MAPS_TO,,<auto>,1720045836225,
4,Not very often,49,,64,ppdataset_clean.csv,blmd1,3b. I have blamed myself unnecessarily when things went wrong,1.00,APPROVED,EQUAL,Reinp,1720098202618,45880859,Not very often,Meas Value,MAPS_TO,,<auto>,1720045838173,
3,No-Not very often,48,,144,ppdataset_clean.csv,slpn2,7f. I have been so unhappy that I have had difficulty sleeping,0.71,APPROVED,EQUAL,Reinp,1720129429265,45880859,Not very often,Meas Value,MAPS_TO,,<auto>,1720045838592,
2,No-not at all,83,,77,ppdataset_clean.csv,sad1,8b. I have felt sad or miserable,0.58,APPROVED,EQUAL,Reinp,1720129829344,45885119,"No, not at all",Meas Value,MAPS_TO,,Reinp,1720129823062,
4,No-I have been coping as well as ever,37,,84,ppdataset_clean.csv,thng1,6b. Things have been getting to me,0.68,APPROVED,EQUAL,Reinp,1720127946409,45885325,"No, have been coping as well as ever",Meas Value,MAPS_TO,,<auto>,1720045839719,
1,are you happy the baby is a girl/boy?,160,,42,ppdataset_clean.csv,hppy1,are you happy the baby is a girl/boy?,0.35,UNCHECKED,UNREVIEWED,,0,40767420,Was the baby a boy or a girl [PhenX],Observation,MAPS_TO,,<auto>,1720045840746,
4,Yes-sometimes,27,,145,ppdataset_clean.csv,slpn2,7f. I have been so unhappy that I have had difficulty sleeping,0.56,APPROVED,EQUAL,Reinp,1720129418460,45879997,"Yes, sometimes",Meas Value,MAPS_TO,,Reinp,1720129407672,
1,participant history of mental illness,184,,29,ppdataset_clean.csv,mntl,participant history of mental illness,0.65,UNCHECKED,UNREVIEWED,,0,3013360,History of Present illness,Observation,MAPS_TO,,<auto>,1720045842213,
1,Physical/Verbal conflict,39,,46,ppdataset_clean.csv,cnfl,presence of physical/verbal conflict with current partner/spouse during the previous 12 months,0.53,UNCHECKED,UNREVIEWED,,0,4049324,Conflict,Condition,MAPS_TO,,<auto>,1720045843539,
2,No-not at all,75,,72,ppdataset_clean.csv,scrd1,5b. I have felt scared or panicky for no good reason,0.58,APPROVED,EQUAL,Reinp,1720102216213,45885119,"No, not at all",Meas Value,MAPS_TO,,Reinp,1720102201706,
3,Not very often,73,,78,ppdataset_clean.csv,sad1,8b. I have felt sad or miserable,1.00,APPROVED,EQUAL,Reinp,1720129792900,45880859,Not very often,Meas Value,MAPS_TO,,<auto>,1720045844391,
1,5b. I have felt scared or panicky for no good reason,0,,71,ppdataset_clean.csv,scrd1,5b. I have felt scared or panicky for no good reason,0.59,APPROVED,EQUAL,Reinp,1720102101789,42870290,I have felt scared or panicky for no very good reason in the past 7 days [EPDS],Observation,MAPS_TO,,<auto>,1720045845530,
5,Yes-most of the time,19,,65,ppdataset_clean.csv,blmd1,3b. I have blamed myself unnecessarily when things went wrong,0.65,APPROVED,EQUAL,Reinp,1720098202618,45885120,"Yes, most of the time",Meas Value,MAPS_TO,,Reinp,1720098138696,
3,No-not much,61,,73,ppdataset_clean.csv,scrd1,5b. I have felt scared or panicky for no good reason,0.45,APPROVED,EQUAL,Reinp,1720127317039,45879389,"No, not much",Meas Value,MAPS_TO,,Reinp,1720127301912,
4,Yes-quite often,24,,79,ppdataset_clean.csv,sad1,8b. I have felt sad or miserable,0.56,APPROVED,EQUAL,Reinp,1720130051335,45879391,"Yes, quite often",Meas Value,MAPS_TO,,Reinp,1720130043035,
5,Yes-most of the time,3,,146,ppdataset_clean.csv,slpn2,7f. I have been so unhappy that I have had difficulty sleeping,0.65,APPROVED,EQUAL,Reinp,1720129499955,45885120,"Yes, most of the time",Meas Value,MAPS_TO,,Reinp,1720129492501,
4,Yes-sometimes,45,,74,ppdataset_clean.csv,scrd1,5b. I have felt scared or panicky for no good reason,0.56,APPROVED,EQUAL,Reinp,1720127229551,45879997,"Yes, sometimes",Meas Value,MAPS_TO,,Reinp,1720127222664,
5,Yes-quite a lot,7,,75,ppdataset_clean.csv,scrd1,5b. I have felt scared or panicky for no good reason,0.56,APPROVED,EQUAL,Reinp,1720127270810,45885324,"Yes, quite a lot",Meas Value,MAPS_TO,,Reinp,1720127260605,
1,family history of mental illness,170,,30,ppdataset_clean.csv,fmntl,family history of mental illness,0.73,APPROVED,EQUAL,Reinp,1720132462089,4051568,Family history of mental disorder,Observation,MAPS_TO,,Reinp,1720132449740,
3,Rather less than I used to,73,,58,ppdataset_clean.csv,enjy1,2b. I have looked forward with enjoyment to things,1.00,APPROVED,EQUAL,Reinp,1720096591261,45879387,Rather less than I used to,Meas Value,MAPS_TO,,<auto>,1720045855071,
1,partner helping with cooking or cleaning or childcare,132,,47,ppdataset_clean.csv,hlp,partner helping with cooking or cleaning or childcare,0.44,UNCHECKED,UNREVIEWED,,0,44790892,Child lives with partner,Observation,MAPS_TO,,<auto>,1720045856443,
5,Yes-most of the time,8,,80,ppdataset_clean.csv,sad1,8b. I have felt sad or miserable,0.65,APPROVED,EQUAL,Reinp,1720129881699,45885120,"Yes, most of the time",Meas Value,MAPS_TO,,Reinp,1720129875029,
5,Yes-most of the time I have not been able to cope at all,12,,85,ppdataset_clean.csv,thng1,6b. Things have been getting to me,0.67,APPROVED,EQUAL,Reinp,1720127881342,45879390,"Yes, most of the time I haven't been able to cope at all",Meas Value,MAPS_TO,,<auto>,1720045857403,
1,4b. I have been anxious or worried for no good reason,0,,66,ppdataset_clean.csv,anxs1,4b. I have been anxious or worried for no good reason,0.65,APPROVED,EQUAL,Reinp,1720046178819,42870289,I have been anxious or worried for no good reason in the past 7 days [EPDS],Observation,MAPS_TO,,<auto>,1720045858714,
1,Vaginal delivery,139,,31,ppdataset_clean.csv,mod,mode of delivery,1.00,APPROVED,EQUAL,Reinp,1720047448177,44784097,Vaginal delivery of fetus,Procedure,MAPS_TO,,Reinp,1720047439276,
1,10f. The thought of harming myself has occurred to me,0,,147,ppdataset_clean.csv,hrmg2,10f. The thought of harming myself has occurred to me,0.59,APPROVED,EQUAL,Reinp,1720046093613,42870295,The thought of harming myself has occurred to me in the past 7 days [EPDS],Observation,MAPS_TO,,<auto>,1720045861499,
1,8b. I have felt sad or miserable,0,,76,ppdataset_clean.csv,sad1,8b. I have felt sad or miserable,0.48,APPROVED,EQUAL,Reinp,1720046236292,42870293,I have felt sad or miserable in the past 7 days [EPDS],Observation,MAPS_TO,,<auto>,1720045861703,
4,Definitely less than I used to,11,,59,ppdataset_clean.csv,enjy1,2b. I have looked forward with enjoyment to things,1.00,APPROVED,EQUAL,Reinp,1720096601876,45880856,Definitely less than I used to,Meas Value,MAPS_TO,,<auto>,1720045862036,
2,Caesarean Section,32,,32,ppdataset_clean.csv,mod,mode of delivery,1.00,APPROVED,EQUAL,Reinp,1720047482155,4015701,Cesarean section,Procedure,MAPS_TO,,Reinp,1720047464041,
5,Hardly at all,10,,60,ppdataset_clean.csv,enjy1,2b. I have looked forward with enjoyment to things,1.00,APPROVED,EQUAL,Reinp,1720096637690,45879388,Hardly at all,Meas Value,MAPS_TO,,<auto>,1720045863569,
1,birth complications,33,,33,ppdataset_clean.csv,bcmp,birth complications,0.71,APPROVED,EQUAL,Reinp,1720048035567,440795,Complication occurring during labor and delivery,Condition,MAPS_TO,,Reinp,1720048011167,
1,3b. I have blamed myself unnecessarily when things went wrong,0,,61,ppdataset_clean.csv,blmd1,3b. I have blamed myself unnecessarily when things went wrong,0.71,APPROVED,EQUAL,Reinp,1720046149843,42870288,I have blamed myself unnecessarily when things went wrong in the past 7 days [EPDS],Observation,MAPS_TO,,<auto>,1720045869765,
